winner_ioc,loser_ioc,winner_hand,loser_hand,num_winners,avg_winner_age,max_loser_age
SUI,POL,L,R,1,26.5,22.9
ITA,BRA,R,L,1,26.7,28.5
SRB,USA,R,R,12,30.73076923076923,29.5
ESP,ESP,R,R,8,26.981818181818184,35.0
FRA,TPE,R,R,1,26.5,21.4
SRB,NOR,R,R,3,26.82,25.8
AUS,SRB,R,R,9,26.488888888888887,33.3
FRA,COL,R,R,3,28.2,27.3
USA,JPN,R,R,7,25.75714285714286,33.5
GRE,AUS,R,R,4,24.75,24.4
ARG,BOL,R,R,2,22.8,29.6
ARG,ESP,R,L,3,29.13333333333333,35.5
DEN,SUI,R,L,1,19.7,26.6
ITA,SRB,R,R,8,25.344444444444445,36.4
ESP,FRA,R,L,1,23.6,24.6
GBR,ARG,L,L,2,27.4,22.1
ESP,ITA,R,R,9,23.38181818181818,35.7
BOL,POR,R,R,1,29.6,33.8
POL,SWE,R,R,1,26.0,24.4
SWE,MDA,R,R,1,24.4,33.2
NED,ARG,R,L,1,26.6,32.8
ARG,USA,R,R,9,25.738461538461543,30.4
AUS,BUL,R,R,2,26.9,31.9
ESP,SUI,R,L,2,25.85,26.7
GER,SRB,R,R,4,28.775,32.8
JPN,ESP,R,R,3,28.866666666666664,30.5
USA,KAZ,R,R,3,28.03333333333333,26.2
NED,HUN,R,R,1,27.5,31.1
ITA,GBR,R,L,3,21.599999999999998,28.0
JPN,BEL,L,R,1,27.5,32.3
ARG,NED,R,L,1,28.0,27.0
GER,RUS,R,R,7,28.61111111111111,29.6
CHI,SUI,R,L,1,26.8,26.8
CHN,AUT,R,L,1,26.5,23.9
NOR,KAZ,R,R,3,24.53333333333333,26.3
GER,SUI,R,L,2,24.75,27.0
PER,POL,R,R,1,27.6,26.2
FIN,ITA,R,R,1,24.1,21.8
KAZ,BEL,R,R,1,25.9,32.5
SUI,AUS,L,R,2,20.9,24.0
CAN,MDA,L,R,1,24.2,33.6
SUI,ARG,R,R,3,38.300000000000004,31.3
RUS,HUN,R,R,3,26.566666666666663,34.9
SRB,SUI,R,R,2,34.650000000000006,38.5
CHN,GER,R,R,1,26.7,31.6
SUI,ITA,R,R,1,38.3,28.2
NED,GBR,R,L,2,27.05,29.5
FRA,CHI,L,R,2,25.200000000000003,28.0
CZE,GER,R,L,1,21.7,29.3
AUT,POR,R,R,1,27.2,26.5
PER,CHN,R,R,1,27.9,25.6
JPN,RUS,L,R,1,27.9,30.0
CZE,CHN,R,R,1,20.9,36.9
RSA,CZE,R,L,1,26.5,30.1
FRA,AUT,L,L,1,35.2,24.3
HUN,CAN,R,R,1,31.6,23.1
SRB,SWE,R,R,1,25.5,27.5
CRO,CZE,R,R,1,18.1,21.9
FRA,HUN,R,R,1,37.1,31.6
CRO,RUS,R,R,1,25.6,30.1
DEN,GRE,R,R,1,20.5,25.2
CRO,NED,R,R,1,25.5,27.1
ISR,JPN,L,R,1,23.6,20.2
BRA,CHN,L,R,1,28.6,25.0
TUR,SLO,R,L,1,25.15,19.7
HKG,LAT,R,R,1,19.2,23.4
IND,MAR,R,R,1,26.0,28.3
LIB,JAM,R,R,1,25.0,21.7
BAR,NMI,R,R,1,30.7,28.1
BUL,BEL,R,R,1,30.5,32.0
USA,CZE,R,R,6,26.0,22.2
USA,COL,R,R,4,27.949999999999996,27.2
AUS,AUS,R,R,11,26.87272727272727,29.1
JPN,MEX,R,R,1,29.9,26.5
USA,KOR,R,R,3,29.133333333333336,25.7
GBR,ARG,R,L,1,32.6,32.8
JPN,CZE,L,R,1,27.3,20.2
GBR,AUS,R,R,4,34.475,26.7
POR,CHI,R,R,1,33.8,26.6
ARG,BRA,R,L,3,26.933333333333337,35.1
GER,USA,R,R,8,28.630000000000003,27.4
ITA,USA,R,R,12,24.642857142857142,30.2
USA,SUI,R,L,5,25.740000000000002,26.7
POR,USA,R,R,2,26.049999999999997,38.0
ESP,SRB,R,R,6,24.199999999999996,36.1
CAN,ESP,R,R,3,22.566666666666666,25.8
BRA,AUT,L,R,1,28.7,29.4
DEN,POR,R,R,1,19.8,26.0
SRB,CZE,R,R,4,26.925,23.0
CHI,NOR,R,R,2,27.15,24.4
BLR,NED,R,R,1,29.0,27.4
CHI,USA,L,R,1,25.7,25.8
AUS,CHN,R,R,3,24.45,26.8
NOR,POR,R,R,1,24.2,34.0
USA,NED,R,L,1,25.1,27.0
CHI,BEL,R,R,1,26.8,23.8
USA,GRE,R,R,2,26.25,24.8
SRB,RUS,R,L,1,35.8,26.4
GRE,CAN,R,L,1,24.6,24.0
DEN,NED,R,R,1,19.9,27.5
DEN,AUS,R,R,2,19.95,28.8
MDA,ARG,R,R,1,33.4,31.1
ESP,CRO,R,R,1,19.9,26.4
CRO,GER,R,R,1,26.4,24.6
SRB,CAN,R,R,1,32.8,22.7
KAZ,USA,R,R,5,24.08571428571429,28.2
ESP,BOL,R,R,2,28.3,30.0
ESP,ITA,L,R,2,35.36666666666667,36.1
CHN,ITA,R,R,2,25.1,30.6
ESP,UKR,R,R,1,26.3,25.8
FRA,CAN,R,R,1,18.9,22.7
FRA,FRA,R,L,2,33.15,35.2
ITA,KAZ,L,R,1,21.4,25.9
SRB,HUN,R,R,1,36.0,31.3
NOR,ITA,R,L,1,24.4,21.4
JPN,BRA,L,R,1,27.6,23.2
SUI,USA,L,R,1,26.9,26.0
KAZ,RUS,R,R,2,24.45,27.4
FRA,KAZ,L,R,2,30.15,22.9
COL,SWE,R,R,1,27.0,24.8
ESP,PER,L,R,2,35.45,27.8
AUT,ESP,R,R,1,27.1,26.5
ARG,CZE,R,R,3,25.933333333333337,21.8
USA,BAR,R,R,1,25.6,31.3
GBR,KAZ,L,R,1,28.0,22.7
CZE,ARG,L,R,1,30.1,25.0
GER,GBR,R,L,1,26.5,28.1
CAN,SWE,R,R,1,27.55,27.4
SUI,GBR,R,L,1,38.4,28.0
MEX,CHN,L,R,1,18.3,26.9
USA,POL,R,R,5,24.683333333333334,26.4
GRE,CRO,R,R,4,24.75,26.7
CZE,GER,R,R,2,21.3,33.0
ITA,BRA,R,R,2,28.6,24.8
USA,JPN,R,L,4,26.375000000000004,28.0
FRA,AUS,R,R,10,29.83636363636364,30.1
ITA,GBR,R,R,9,24.544444444444444,36.2
BEL,USA,R,R,2,30.8,26.6
GBR,RUS,L,R,3,25.366666666666664,26.6
USA,NOR,R,R,2,26.2,24.8
FRA,GEO,R,R,2,27.45,30.9
SRB,POR,R,R,2,25.549999999999997,33.9
GBR,PER,L,R,1,27.4,27.3
GBR,ARG,L,R,3,25.433333333333334,23.5
ARG,ESP,R,R,7,25.439999999999998,37.2
ARG,GER,R,R,3,24.3,31.5
PER,POR,R,R,1,27.3,33.8
ESP,ESP,R,L,6,26.0,35.5
ESP,FRA,R,R,8,24.09090909090909,36.3
DEN,ITA,R,R,4,19.939999999999998,35.9
JPN,NOR,R,R,1,30.0,24.1
ARG,SRB,R,R,6,24.857142857142858,32.6
JPN,ITA,R,R,1,30.1,26.8
FRA,AUT,L,R,4,32.6,30.1
TPE,KAZ,R,R,2,23.450000000000003,25.7
FIN,NED,R,R,2,23.049999999999997,27.9
NOR,BLR,R,R,1,24.2,29.0
CAN,BRA,R,L,1,22.6,28.8
ARG,MDA,R,R,1,22.2,33.3
SWE,MAR,R,R,1,26.9,27.9
AUS,MAR,R,R,1,23.6,21.9
POL,SRB,R,R,3,26.366666666666664,33.3
POR,BLR,R,R,1,26.1,29.1
ECU,ESP,R,L,1,31.3,35.2
DEN,GER,R,R,2,20.2,31.4
JPN,SVK,L,L,1,27.5,25.3
BRA,CRO,L,R,1,28.8,25.1
ITA,KAZ,R,R,6,26.683333333333334,26.3
CHI,BUL,R,R,1,27.6,32.0
BUL,ESP,R,R,2,32.15,30.1
BLR,FRA,R,L,1,29.2,34.8
FRA,SRB,L,R,1,34.8,31.2
FRA,RSA,R,R,2,28.55,26.3
PER,CHN,R,L,1,27.6,18.3
ARG,NED,R,R,1,22.1,27.6
ESP,JPN,R,R,2,25.15,30.4
BUL,FIN,R,R,3,32.06666666666667,24.3
JPN,ESP,R,L,1,25.1,41.7
HUN,CAN,R,L,1,31.3,24.1
NED,CHN,R,R,1,27.7,26.7
BUL,BLR,R,R,1,32.1,29.3
DEN,ESP,R,R,1,20.1,30.2
SRB,USA,R,L,2,32.1,20.8
ESP,SUI,R,R,1,26.1,38.3
SRB,SUI,R,L,2,22.05,21.2
CRO,BLR,R,R,1,26.7,29.4
FRA,JPN,R,R,3,29.333333333333332,30.5
ESP,NOR,R,R,2,22.200000000000003,24.7
ARG,RUS,L,R,1,21.7,26.0
ESP,RSA,R,R,1,20.3,26.5
CRO,CZE,R,L,1,25.4,30.1
JPN,RSA,L,R,1,27.9,26.5
SRB,KAZ,R,R,1,20.1,22.8
CHN,POL,R,R,1,26.9,26.6
SUI,NOR,L,R,1,21.1,24.8
CAN,GER,R,R,1,23.2,33.5
TUR,AUS,R,R,1,28.2,25.5
AUT,USA,L,R,1,24.4,26.3
FIN,CRO,R,R,1,23.299999999999997,25.5
CAN,FIN,R,R,1,32.8,24.9
GER,SUI,R,R,1,25.7,37.8
ARG,LTU,R,R,1,23.933333333333337,33.2
BRA,DEN,L,R,1,29.2,20.3
TUR,SLO,R,R,1,27.4,18.6
LBN,JAM,U,U,1,18.8,18.5
MON,ECU,R,R,1,27.0,31.7
ITA,POL,R,R,2,23.03333333333333,26.1
GRE,BUL,R,R,1,24.3,31.6
AUS,ESP,R,L,5,29.21666666666667,39.3
ITA,NOR,R,R,2,23.2,25.7
BRA,NOR,R,R,1,24.8,25.7
CRO,FRA,R,R,2,26.15,27.5
NED,ESP,R,R,5,27.119999999999997,35.5
GER,SWE,L,R,1,27.5,26.7
USA,ARG,R,R,13,24.944444444444443,30.9
SRB,ESP,R,R,9,33.06363636363636,30.0
USA,FRA,R,L,9,27.379999999999995,35.1
FRA,SVK,R,L,1,26.2,25.1
ESP,NED,R,R,5,26.880000000000003,35.7
SRB,GBR,R,R,2,28.0,35.8
CZE,ESP,R,R,3,21.624999999999996,26.6
ARG,ARG,R,L,3,24.166666666666668,32.6
USA,CHN,L,R,1,20.2,26.2
RUS,FIN,R,R,2,26.2,24.0
FRA,ESP,R,R,10,25.727272727272727,34.9
USA,CHI,L,R,1,20.2,27.2
RUS,JPN,R,L,4,26.35,28.0
ESP,SRB,L,R,2,35.2,32.6
ITA,ITA,R,R,15,24.023529411764706,35.8
ARG,COL,R,R,3,23.400000000000002,27.1
ESP,BRA,R,R,1,19.7,22.0
DEN,USA,R,L,1,19.8,20.3
CAN,USA,R,R,3,25.866666666666664,25.8
FRA,CRO,R,R,2,36.75,25.0
ITA,FIN,R,R,2,21.9,24.2
RUS,FRA,R,R,9,26.60909090909091,36.9
CZE,ITA,R,R,1,21.3,21.0
ARG,BRA,L,R,1,33.0,25.0
FRA,CHN,L,L,1,34.7,18.1
NOR,FRA,R,R,3,24.333333333333332,28.7
AUT,ESP,L,L,1,23.8,35.2
CHI,BOL,R,R,3,27.166666666666668,30.1
CZE,BUL,R,R,1,21.4,31.9
CHI,AUS,R,R,3,27.7,30.1
GER,ESP,R,L,2,32.25,41.7
BIH,FRA,R,R,1,30.9,36.8
ESP,DEN,R,R,3,24.76666666666667,20.3
CHN,GBR,R,L,1,26.5,27.6
KAZ,COL,R,R,1,25.8,26.8
FRA,ARG,R,L,2,23.45,21.7
FRA,CHN,R,R,1,18.9,26.5
SUI,ESP,R,L,1,38.1,35.3
NOR,CHN,R,R,1,24.4,26.6
HUN,CHN,R,R,2,31.4,26.8
CAN,RSA,L,R,1,24.1,26.3
SWE,NED,R,R,1,24.7,27.7
USA,CAN,R,R,4,27.659999999999997,32.6
ITA,PER,R,R,1,21.3,27.7
POL,ESP,R,L,1,26.3,35.4
GBR,NOR,L,R,1,29.4,24.5
AUT,ARG,R,L,2,29.85,33.4
SVK,AUT,L,R,1,25.6,27.2
BLR,CRO,R,R,1,29.4,25.4
CHN,ECU,L,R,1,18.4,31.6
GER,JPN,R,L,1,26.3,27.8
RUS,AUS,R,L,1,27.3,30.6
ARG,GBR,R,R,1,24.2,36.4
CAN,NED,R,R,1,23.2,28.0
GBR,AUT,L,R,1,28.1,22.2
TUR,BUL,R,R,1,28.2,30.2
HUN,HUN,R,R,1,24.0,24.0
AUT,UKR,R,R,1,27.4,26.3
NED,SVK,R,L,1,25.7,25.1
THA,ROU,R,R,1,22.4,20.3
ESA,IRL,R,R,1,32.9,27.0
ECU,MON,R,R,1,26.15,24.8
MEX,EGY,R,R,1,38.6,32.3
JOR,ESA,U,U,1,24.5,NULL
CRO,ARG,R,R,2,25.975,31.2
SRB,IND,R,R,1,30.8,25.3
USA,IND,R,R,2,22.1,26.5
USA,AUS,R,R,16,25.441666666666663,31.4
CAN,CAN,R,R,1,22.4,32.5
AUS,FRA,R,L,8,27.1375,35.0
DEN,FRA,R,L,1,19.7,24.5
CZE,CAN,R,R,1,21.1,22.4
USA,MDA,R,R,2,24.35,33.7
USA,CRO,R,L,1,29.5,33.6
SRB,ARG,R,R,9,32.81,30.5
RUS,BUL,R,R,4,26.35,32.4
CAN,FRA,R,R,1,22.5,28.9
NED,SUI,L,L,1,26.9,26.6
CZE,RUS,R,R,1,21.2,25.3
CAN,AUS,R,R,2,22.8,29.7
ESP,CHI,R,R,3,22.325000000000003,27.7
BUL,NED,R,L,1,31.7,26.9
ITA,GER,R,R,5,23.380000000000003,33.4
SRB,POL,R,R,3,36.06666666666667,26.7
ITA,CAN,R,R,3,28.73333333333333,33.1
SWE,ITA,R,R,1,24.4,22.1
ARG,AUS,R,R,7,23.11428571428571,29.7
FRA,ITA,L,R,3,28.366666666666664,36.4
CHN,ESP,R,R,1,23.3,25.8
FIN,JPN,R,R,1,23.9,30.1
SVK,JPN,L,L,1,25.2,27.4
SUI,ESP,L,L,1,26.7,35.1
ARG,RUS,R,R,1,23.6,24.3
AUS,COL,R,R,1,29.8,26.7
ITA,MON,R,R,1,19.6,24.3
AUS,KAZ,R,R,2,24.3,22.5
AUT,SUI,R,L,1,29.6,26.8
SWE,FRA,R,R,1,24.6,36.9
JPN,AUS,R,R,4,28.675,29.2
FRA,AUT,R,L,1,29.2,24.0
GER,BUL,R,R,4,26.275,32.3
GBR,FRA,L,L,2,28.55,24.9
RSA,ESP,R,R,1,26.3,26.4
FRA,CHI,R,R,1,29.3,27.7
GER,NED,R,L,1,26.2,27.3
DEN,BUL,R,R,1,20.1,32.1
KAZ,ARG,R,L,1,22.6,21.6
AUS,GBR,R,L,3,26.066666666666663,29.5
SVK,BRA,R,R,1,30.7,23.3
HUN,ARG,R,L,1,23.7,21.6
USA,ESP,L,R,2,20.85,26.5
FIN,RUS,R,R,1,24.3,25.8
AUS,UKR,R,R,1,22.4,35.9
TPE,AUS,R,R,2,24.45,27.3
POL,SUI,R,L,1,26.5,27.1
AUT,KAZ,R,R,2,28.6,26.2
PER,SRB,R,R,1,27.8,23.9
CZE,FRA,L,R,1,30.1,28.4
GBR,POL,L,R,1,21.6,26.5
BLR,ESP,R,R,1,30.8,26.6
AUT,FRA,L,R,1,24.3,29.6
GBR,GER,L,R,1,21.8,33.5
GBR,TUR,L,R,1,21.8,28.2
CHI,SWE,R,R,1,27.549999999999997,27.4
CZE,SRB,R,R,1,19.9,33.1
GBR,COL,L,R,1,27.4,35.7
GRE,SVK,R,R,1,25.0,25.4
DEN,IND,R,R,1,19.7,30.5
ISR,LAT,R,R,1,27.5,20.6
LTU,PAK,R,R,1,18.5,43.0
IRL,ESA,R,U,1,27.0,NULL
PAK,INA,R,R,1,43.5,32.1
NMI,BAR,R,R,1,28.1,20.8
EST,JAM,R,U,1,22.5,23.6
SUI,KAZ,R,R,2,37.75,25.6
RUS,GBR,R,L,5,27.060000000000002,29.1
AUS,USA,R,R,16,26.249999999999993,38.2
GBR,KOR,L,R,1,21.0,25.0
CRO,ESP,R,R,3,29.0,30.1
ESP,IND,R,R,1,25.6,28.1
FRA,GBR,R,L,3,34.13333333333333,27.9
USA,USA,R,R,22,25.649090909090905,38.3
CZE,BRA,R,L,1,21.1,28.6
GBR,ITA,L,R,2,21.4,27.6
ESP,GBR,L,L,1,36.6,21.0
JPN,FRA,R,R,2,26.566666666666663,33.8
CHI,SRB,R,R,3,27.2,32.8
GBR,ITA,R,R,5,34.64,28.2
NOR,CZE,R,R,2,24.3,22.2
USA,AUS,L,R,2,20.6,29.4
BOL,ARG,R,L,1,29.6,32.7
ITA,FRA,R,L,6,24.433333333333334,34.6
CHI,COL,R,R,2,25.9,26.7
ECU,SRB,R,R,1,31.1,23.4
USA,TPE,R,R,2,31.1,34.1
USA,SRB,R,R,5,26.171428571428567,33.1
SRB,MDA,R,R,1,23.4,33.2
JPN,GER,L,R,3,27.733333333333334,33.3
ESP,GBR,R,L,2,19.75,27.4
RUS,CAN,R,R,2,27.0,22.5
SVK,BRA,L,R,1,25.2,16.5
ESP,USA,L,R,1,41.4,26.8
GER,ITA,R,R,6,29.342857142857145,35.8
SRB,NED,R,R,4,33.300000000000004,27.5
ITA,SUI,R,L,2,24.65,26.6
ESP,TUN,R,R,1,23.7,39.1
CHI,GER,R,R,3,27.233333333333334,31.2
USA,CHI,R,L,1,25.1,25.7
SUI,SRB,R,R,1,37.9,23.5
ESP,CHN,R,R,4,27.375,25.9
RUS,CZE,R,R,5,27.340000000000003,21.9
FRA,CAN,L,L,1,24.6,23.8
CAN,ARG,L,L,1,23.9,32.8
BUL,GER,R,R,2,31.9,32.9
BUL,FRA,R,R,2,30.75,29.1
RUS,USA,L,R,1,26.4,27.9
FIN,USA,R,R,3,23.674999999999997,28.4
ITA,ESP,R,L,2,22.4,39.4
SVK,SRB,L,R,1,25.3,27.8
